un_no,psn,haz_class,sub_class,pg,nos,symbols
UN1485,Potassium chlorate,5.1,,II,N,
UN2427,"Potassium chlorate, aqueous solution",5.1,,II,N,
UN2427,"Potassium chlorate, aqueous solution",5.1,,III,N,
UN1679,Potassium cuprocyanide,6.1,,II,N,
UN1680,"Potassium cyanide, solid",6.1,,I,N,
UN3413,Potassium cyanide solution,6.1,,I,N,
UN3413,Potassium cyanide solution,6.1,,II,N,
UN3413,Potassium cyanide solution,6.1,,III,N,
UN1929,Potassium dithionite or Potassium hydrosulfite,4.2,,II,N,
UN1812,"Potassium fluoride, solid",6.1,,III,N,
UN3422,Potassium fluoride solution,6.1,,III,N,
UN2628,Potassium fluoroacetate,6.1,,I,N,
UN2655,Potassium fluorosilicate,6.1,,III,N,
UN2509,Potassium hydrogen sulfate,8,,II,N,
UN1811,Potassium hydrogendifluoride solid,8,6.1,II,N,
UN3421,Potassium hydrogendifluoride solution,8,6.1,II,N,
UN3421,Potassium hydrogendifluoride solution,8,6.1,III,N,
UN1813,"Potassium hydroxide, solid",8,,II,N,
UN1814,"Potassium hydroxide, solution",8,,II,N,
UN1814,"Potassium hydroxide, solution",8,,III,N,
UN1420,"Potassium, metal alloys, liquid",4.3,,I,N,
UN3403,"Potassium, metal alloys, solid",4.3,,I,N,
UN2864,Potassium metavanadate,6.1,,II,N,
UN2033,Potassium monoxide,8,,II,N,
UN1486,Potassium nitrate,5.1,,III,N,
UN1487,Potassium nitrate and sodium nitrite mixtures,5.1,,II,N,
UN1488,Potassium nitrite,5.1,,II,N,
UN1489,Potassium perchlorate,5.1,,II,N,
UN1490,Potassium permanganate,5.1,,II,N,
UN1491,Potassium peroxide,5.1,,I,N,
UN1492,Potassium persulfate,5.1,,III,N,
UN2012,Potassium phosphide,4.3,6.1,I,N,
UN1422,"Potassium sodium alloys, liquid",4.3,,I,N,
UN3404,"Potassium sodium alloys, solid",4.3,,I,N,
UN1382,"Potassium sulfide, anhydrous or Potassium sulfide with less than 30 percent water of crystallization",4.2,,II,N,
UN1847,"Potassium sulfide, hydrated with not less than 30 percent water of crystallization",8,,II,N,
UN2466,Potassium superoxide,5.1,,I,N,
UN0433,"Powder cake, wetted or Powder paste, wetted with not less than 17 percent alcohol by mass",1.1C,,,N,
UN0159,"Powder cake, wetted or Powder paste, wetted with not less than 25 percent water, by mass",1.3C,,,N,
UN0160,"Powder, smokeless",1.1C,,,N,
UN0161,"Powder, smokeless",1.3C,,,N,
UN0509,"Powder, smokeless",1.4C,,,N,
UN0044,"Primers, cap type",1.4S,,,N,
UN0377,"Primers, cap type",1.1B,,,N,
UN0378,"Primers, cap type",1.4B,,,N,
UN0319,"Primers, tubular",1.3G,,,N,
UN0320,"Primers, tubular",1.4G,,,N,
UN0376,"Primers, tubular",1.4S,,,N,
UN1210,"Printing ink, flammable or Printing ink related material (including printing ink thinning or reducing compound), flammable",3,,I,N,
UN1210,"Printing ink, flammable or Printing ink related material (including printing ink thinning or reducing compound), flammable",3,,II,N,
UN1210,"Printing ink, flammable or Printing ink related material (including printing ink thinning or reducing compound), flammable",3,,III,N,
UN0345,"Projectiles, inert with tracer",1.4S,,,N,
UN0424,"Projectiles, inert, with tracer",1.3G,,,N,
UN0425,"Projectiles, inert, with tracer",1.4G,,,N,
UN0346,"Projectiles, with burster or expelling charge",1.2D,,,N,
UN0347,"Projectiles, with burster or expelling charge",1.4D,,,N,
UN0426,"Projectiles, with burster or expelling charge",1.2F,,,N,
UN0427,"Projectiles, with burster or expelling charge",1.4F,,,N,
UN0434,"Projectiles, with burster or expelling charge",1.2G,,,N,
UN0435,"Projectiles, with burster or expelling charge",1.4G,,,N,
UN0167,"Projectiles, with bursting charge",1.1F,,,N,
UN0168,"Projectiles, with bursting charge",1.1D,,,N,
UN0169,"Projectiles, with bursting charge",1.2D,,,N,
UN0324,"Projectiles, with bursting charge",1.2F,,,N,
UN0344,"Projectiles, with bursting charge",1.4D,,,N,
UN2200,"Propadiene, stabilized",2.1,,,N,
UN1978,"Propane, see also Petroleum gases, liquefied",2.1,,,N,
UN2402,Propanethiols,3,,II,N,
UN1274,"n-Propanol or Propyl alcohol, normal",3,,II,N,
UN1274,"n-Propanol or Propyl alcohol, normal",3,,III,N,
UN0495,"Propellant, liquid",1.3C,,,N,
UN0497,"Propellant, liquid",1.1C,,,N,
UN0498,"Propellant, solid",1.1C,,,N,
UN0499,"Propellant, solid",1.3C,,,N,
UN0501,"Propellant, solid",1.4C,,,N,
UN1275,Propionaldehyde,3,,II,N,
UN3463,Propionic acid with not less than 90% acid by mass,8,3,II,N,
UN1848,Propionic acid with not less than 10% and less than 90% acid by mass,8,,III,N,
UN2496,Propionic anhydride,8,,III,N,
UN2404,Propionitrile,3,6.1,II,N,
UN1815,Propionyl chloride,3,8,II,N,
UN1276,n-Propyl acetate,3,,II,N,
UN2364,n-Propyl benzene,3,,III,N,
UN2740,n-Propyl chloroformate,6.1,"3,8",I,N,
UN1281,Propyl formates,3,,II,N,
UN2482,n-Propyl isocyanate,6.1,3,I,N,
UN1865,n-Propyl nitrate,3,,II,N,
UN1277,Propylamine,3,8,II,N,
UN1077,"Propylene see also Petroleum gases, liquefied",2.1,,,N,
UN2611,Propylene chlorohydrin,6.1,3,II,N,
UN1280,Propylene oxide,3,,I,N,
UN2850,Propylene tetramer,3,,III,N,
UN2258,"1,2-Propylenediamine",8,3,II,N,
UN1921,"Propyleneimine, stabilized",3,6.1,I,N,
UN1816,Propyltrichlorosilane,8,3,II,N,
UN3350,"Pyrethroid pesticide, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,I,N,
UN3350,"Pyrethroid pesticide, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,II,N,
UN3352,"Pyrethroid pesticide, liquid toxic",6.1,,I,N,
UN3352,"Pyrethroid pesticide, liquid toxic",6.1,,II,N,
UN3352,"Pyrethroid pesticide, liquid toxic",6.1,,III,N,
UN3351,"Pyrethroid pesticide, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,I,N,
UN3351,"Pyrethroid pesticide, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,II,N,
UN3351,"Pyrethroid pesticide, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,III,N,
UN3349,"Pyrethroid pesticide, solid, toxic",6.1,,I,N,
UN3349,"Pyrethroid pesticide, solid, toxic",6.1,,II,N,
UN3349,"Pyrethroid pesticide, solid, toxic",6.1,,III,N,
UN1282,Pyridine,3,,II,N,
UN3194,"Pyrophoric liquid, inorganic, n.o.s",4.2,,I,Y,G
UN2845,"Pyrophoric liquids, organic, n.o.s",4.2,,I,Y,G
UN1383,"Pyrophoric metals, n.o.s., or Pyrophoric alloys, n.o.s",4.2,,I,Y,G
UN3200,"Pyrophoric solid, inorganic, n.o.s",4.2,,I,Y,G
UN2846,"Pyrophoric solids, organic, n.o.s",4.2,,I,Y,G
UN1817,Pyrosulfuryl chloride,8,,II,N,
UN1922,Pyrrolidine,3,8,II,N,
UN2656,Quinoline,6.1,,III,N,
UN2909,"Radioactive material, excepted package-articles manufactured from natural uranium or depleted uranium or natural thorium",7,,,N,
UN2908,"Radioactive material, excepted package-empty packaging",7,,,N,
UN2911,"Radioactive material, excepted package-instruments or articles",7,,,N,
UN2910,"Radioactive material, excepted package-limited quantity of material",7,,,N,
UN2912,"Radioactive material, low specific activity (LSA-I) non fissile or fissile-excepted",7,,,N,
UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",7,,,N,
UN3322,"Radioactive material, low specific activity (LSA-III) non fissile or fissile excepted",7,,,N,
UN2913,"Radioactive material, surface contaminated objects (SCO-I or SCO-II) non fissile or fissile-excepted",7,,,N,
UN2919,"Radioactive material, transported under special arrangement, non fissile or fissile excepted",7,,,N,
UN3331,"Radioactive material, transported under special arrangement, fissile",7,,,N,
UN3327,"Radioactive material, Type A package, fissile non-special form",7,,,N,
UN2915,"Radioactive material, Type A package non-special form, non fissile or fissile-excepted",7,,,N,
UN3332,"Radioactive material, Type A package, special form non fissile or fissile-excepted",7,,,N,
UN3333,"Radioactive material, Type A package, special form, fissile",7,,,N,
UN3329,"Radioactive material, Type B(M) package, fissile",7,,,N,
UN2917,"Radioactive material, Type B(M) package non fissile or fissile-excepted",7,,,N,
UN3328,"Radioactive material, Type B(U) package, fissile",7,,,N,
UN2916,"Radioactive material, Type B(U) package non fissile or fissile-excepted",7,,,N,
UN2978,"Radioactive material, uranium hexafluoride non fissile or fissile-excepted",7,"6.1,8",,N,
UN2977,"Radioactive material, uranium hexafluoride, fissile",7,"6.1,8",,N,
UN1856,"Rags, oily",4.2,,III,N,A W
UN0391,"RDX and HMX mixtures, wetted with not less than 15 percent water by mass or RDX and HMX mixtures, desensitized with not less than 10 percent phlegmatizer by mass",1.1D,,,N,
UN2037,"Receptacles, small, containing gas or gas cartridges (flammable) without release device, not refillable and not exceeding 1 L capacity",2.1,,,N,
UN2037,"Receptacles, small, containing gas or gas cartridges (non-flammable) without release device, not refillable and not exceeding 1 L capacity",2.2,,,N,
UN2037,"Receptacles, small, containing gas or gas cartridges (oxidizing), without release device, not refillable and not exceeding 1 L capacity",2.2,5.1,,N,
UN3337,Refrigerant gas R 404A,2.2,,,N,
UN3338,Refrigerant gas R 407A,2.2,,,N,
UN3339,Refrigerant gas R 407B,2.2,,,N,
UN3340,Refrigerant gas R 407C,2.2,,,N,
UN1078,"Refrigerant gases, n.o.s.",2.2,,,Y,G
NA1954,"Refrigerant gases, n.o.s. or Dispersant gases, n.o.s.",2.1,,,Y,D
UN3358,"Refrigerating machines, containing flammable, non-toxic, liquefied gas",2.1,,,N,
UN2857,"Refrigerating machines, containing non-flammable, non-toxic gases, or ammonia solutions (UN2672)",2.2,,,N,
UN3291,"Regulated medical waste, n.o.s. or Clinical waste, unspecified, n.o.s. or (BIO) Medical waste, n.o.s. or Biomedical waste, n.o.s., or Medical Waste n.o.s.",6.2,,,Y,
UN0173,"Release devices, explosive",1.4S,,,N,
UN1866,"Resin Solution, flammable",3,,I,N,
UN1866,"Resin Solution, flammable",3,,II,N,
UN1866,"Resin Solution, flammable",3,,III,N,
UN2876,Resorcinol,6.1,,III,N,
UN0174,"Rivets, explosive",1.4S,,,N,
UN0186,Rocket motors,1.3C,,,N,
UN0280,Rocket motors,1.1C,,,N,
UN0281,Rocket motors,1.2C,,,N,
UN0510,Rocket motors,1.4C,,,N,
UN0395,"Rocket motors, liquid fueled",1.2J,,,N,
UN0396,"Rocket motors, liquid fueled",1.3J,,,N,
UN0250,Rocket motors with hypergolic liquids with or without an expelling charge,1.3L,,,N,
UN0322,Rocket motors with hypergolic liquids with or without an expelling charge,1.2L,,,N,
UN0238,"Rockets, line-throwing",1.2G,,,N,
UN0240,"Rockets, line-throwing",1.3G,,,N,
UN0453,"Rockets, line-throwing",1.4G,,,N,
UN0397,"Rockets, liquid fueled with bursting charge",1.1J,,,N,
UN0398,"Rockets, liquid fueled with bursting charge",1.2J,,,N,
UN0180,"Rockets, with bursting charge",1.1F,,,N,
UN0181,"Rockets, with bursting charge",1.1E,,,N,
UN0182,"Rockets, with bursting charge",1.2E,,,N,
UN0295,"Rockets, with bursting charge",1.2F,,,N,
UN0436,"Rockets, with expelling charge",1.2C,,,N,
UN0437,"Rockets, with expelling charge",1.3C,,,N,
UN0438,"Rockets, with expelling charge",1.4C,,,N,
UN0183,"Rockets, with inert head",1.3C,,,N,
UN0502,"Rockets, with inert head",1.2C,,,N,
UN1286,Rosin oil,3,,II,N,
UN1286,Rosin oil,3,,III,N,
UN1287,Rubber solution,3,,II,N,
UN1287,Rubber solution,3,,III,N,
UN1345,"Rubber scrap or shoddy, powdered or granulated, not exceeding 840 microns and rubber contend exceeding 45%",4.1,,II,N,
UN1423,Rubidium,4.3,,I,N,
UN2678,Rubidium hydroxide,8,,II,N,
UN2677,Rubidium hydroxide solution,8,,II,N,
UN2677,Rubidium hydroxide solution,8,,III,N,
UN3268,"Safety devices, electrically initiated",9,,,N,
UN0503,"Safety devices, pyrotechnic",1.4G,,,N,
UN0190,"Samples, explosive, other than initiating explosives",,,,N,G
UN1386,"Seed cake, containing vegetable oil solvent extractions and expelled seeds, with not more than 10 percent of oil and when the amount of moisture is higher than 11 percent, with not more than 20 percent of oil and moisture combined",4.2,,III,N,
UN1386,Seed cake with more than 1.5 percent oil and not more than 11 percent moisture,4.2,,III,N,I
UN2217,Seed cake with not more than 1.5 percent oil and not more than 11 percent moisture,4.2,,III,N,I
UN2630,Selenates or Selenites,6.1,,I,N,G
UN1905,Selenic acid,8,,I,N,
UN3440,"Selenium compound, liquid, n.o.s",6.1,,I,Y,G
UN3440,"Selenium compound, liquid, n.o.s",6.1,,II,Y,G
UN3440,"Selenium compound, liquid, n.o.s",6.1,,III,Y,G
UN3283,"Selenium compound, solid, n.o.s",6.1,,I,Y,G
UN3283,"Selenium compound, solid, n.o.s",6.1,,II,Y,G
UN3283,"Selenium compound, solid, n.o.s",6.1,,III,Y,G
UN2657,Selenium disulfide,6.1,,II,N,
UN2194,Selenium hexafluoride,2.3,8,,N,
UN2879,Selenium oxychloride,8,6.1,I,N,
NA3334,"Self-defense spray, non-pressurized",9,,III,N,+ A D
UN3188,"Self-heating liquid, corrosive, inorganic, n.o.s",4.2,8,II,Y,G
UN3188,"Self-heating liquid, corrosive, inorganic, n.o.s",4.2,8,III,Y,G
UN3185,"Self-heating liquid, corrosive, organic, n.o.s",4.2,8,II,Y,G
UN3185,"Self-heating liquid, corrosive, organic, n.o.s",4.2,8,III,Y,G
UN3186,"Self-heating liquid, inorganic, n.o.s",4.2,,II,Y,G
UN3186,"Self-heating liquid, inorganic, n.o.s",4.2,,III,Y,G
UN3183,"Self-heating liquid, organic, n.o.s",4.2,,II,Y,G
UN3183,"Self-heating liquid, organic, n.o.s",4.2,,III,Y,G
UN3187,"Self-heating liquid, toxic, inorganic, n.o.s",4.2,6.1,II,Y,G
UN3187,"Self-heating liquid, toxic, inorganic, n.o.s",4.2,6.1,III,Y,G
UN3184,"Self-heating liquid, toxic, organic, n.o.s",4.2,6.1,II,Y,G
UN3184,"Self-heating liquid, toxic, organic, n.o.s",4.2,6.1,III,Y,G
UN3192,"Self-heating solid, corrosive, inorganic, n.o.s.",4.2,8,II,Y,G
UN3192,"Self-heating solid, corrosive, inorganic, n.o.s.",4.2,8,III,Y,G
UN3126,"Self-heating solid, corrosive, organic, n.o.s",4.2,8,II,Y,G
UN3126,"Self-heating solid, corrosive, organic, n.o.s",4.2,8,III,Y,G
UN3190,"Self-heating solid, inorganic, n.o.s",4.2,,II,Y,G
UN3190,"Self-heating solid, inorganic, n.o.s",4.2,,III,Y,G
UN3088,"Self-heating solid, organic, n.o.s",4.2,,II,Y,G
UN3088,"Self-heating solid, organic, n.o.s",4.2,,III,Y,G
UN3127,"Self-heating solid, oxidizing, n.o.s.",4.2,5.1,,Y,G
UN3191,"Self-heating solid, toxic, inorganic, n.o.s.",4.2,6.1,II,Y,G
UN3191,"Self-heating solid, toxic, inorganic, n.o.s.",4.2,6.1,III,Y,G
UN3128,"Self-heating solid, toxic, organic, n.o.s",4.2,6.1,II,Y,G
UN3128,"Self-heating solid, toxic, organic, n.o.s",4.2,6.1,III,Y,G
UN3221,Self-reactive liquid type B,4.1,,,N,G
UN3231,"Self-reactive liquid type B, temperature controlled",4.1,,,N,G
UN3223,Self-reactive liquid type C,4.1,,,N,G
UN3233,"Self-reactive liquid type C, temperature controlled",4.1,,,N,G
UN3225,Self-reactive liquid type D,4.1,,,N,G
UN3235,"Self-reactive liquid type D, temperature controlled",4.1,,,N,G
UN3227,Self-reactive liquid type E,4.1,,,N,G
UN3237,"Self-reactive liquid type E, temperature controlled",4.1,,,N,G
UN3229,Self-reactive liquid type F,4.1,,,N,G
UN3239,"Self-reactive liquid type F, temperature controlled",4.1,,,N,G
UN3222,Self-reactive solid type B,4.1,,,N,G
UN3232,"Self-reactive solid type B, temperature controlled",4.1,,,N,G
UN3224,Self-reactive solid type C,4.1,,,N,G
UN3234,"Self-reactive solid type C, temperature controlled",4.1,,,N,G
UN3226,Self-reactive solid type D,4.1,,,N,G
UN3236,"Self-reactive solid type D, temperature controlled",4.1,,,N,G
UN3228,Self-reactive solid type E,4.1,,,N,G
UN3238,"Self-reactive solid type E, temperature controlled",4.1,,,N,G
UN3230,Self-reactive solid type F,4.1,,,N,G
UN3240,"Self-reactive solid type F, temperature controlled",4.1,,,N,G
UN1288,Shale oil,3,,I,N,
UN1288,Shale oil,3,,II,N,
UN1288,Shale oil,3,,III,N,
UN0191,"Signal devices, hand",1.4G,,,N,
UN0373,"Signal devices, hand",1.4S,,,N,
UN0194,"Signals, distress, ship",1.1G,,,N,
UN0195,"Signals, distress, ship",1.3G,,,N,
UN0505,"Signals, distress, ship",1.4G,,,N,
UN0506,"Signals, distress, ship",1.4S,,,N,
UN0192,"Signals, railway track, explosive",1.1G,,,N,
UN0193,"Signals, railway track, explosive",1.4S,,,N,
UN0492,"Signals, railway track, explosive",1.3G,,,N,
UN0493,"Signals, railway track, explosive",1.4G,,,N,
UN0196,"Signals, smoke",1.1G,,,N,
UN0197,"Signals, smoke",1.4G,,,N,
UN0313,"Signals, smoke",1.2G,,,N,
UN0487,"Signals, smoke",1.3G,,,N,
UN0507,"Signals, smoke",1.4S,,,N,
UN2203,Silane,2.1,,,N,
UN1346,"Silicon powder, amorphous",4.1,,III,N,
UN1818,Silicon tetrachloride,8,,II,N,
UN1859,Silicon tetrafluoride,2.3,8,,N,
UN3521,"Silicon tetrafluoride, adsorbed",2.3,8,,N,
UN1683,Silver arsenite,6.1,,II,N,
UN1684,Silver cyanide,6.1,,II,N,
UN1493,Silver nitrate,5.1,,II,N,
UN1347,"Silver picrate, wetted with not less than 30 percent water, by mass",4.1,,I,N,
UN1906,"Sludge, acid",8,,II,N,
NA3178,Smokeless powder for small arms (100 pounds or less),4.1,,I,N,D
UN1907,Soda lime with more than 4 percent sodium hydroxide,8,,III,N,
UN1428,Sodium,4.3,,I,N,
UN2812,"Sodium aluminate, solid",8,,III,N,A
UN1819,"Sodium aluminate, solution",8,,II,N,
UN1819,"Sodium aluminate, solution",8,,III,N,
UN2835,Sodium aluminum hydride,4.3,,II,N,
UN2863,Sodium ammonium vanadate,6.1,,II,N,
UN2473,Sodium arsanilate,6.1,,III,N,
UN1685,Sodium arsenate,6.1,,II,N,
UN1686,"Sodium arsenite, aqueous solutions",6.1,,II,N,
UN1686,"Sodium arsenite, aqueous solutions",6.1,,III,N,
UN2027,"Sodium arsenite, solid",6.1,,II,N,
UN1687,Sodium azide,6.1,,II,N,
UN1426,Sodium borohydride,4.3,,I,N,
UN3320,"Sodium borohydride and sodium hydroxide solution, with not more than 12 percent sodium borohydride and not more than 40 percent sodium hydroxide by mass",8,,II,N,
UN3320,"Sodium borohydride and sodium hydroxide solution, with not more than 12 percent sodium borohydride and not more than 40 percent sodium hydroxide by mass",8,,III,N,
UN1494,Sodium bromate,5.1,,II,N,
UN1688,Sodium cacodylate,6.1,,II,N,
UN3378,Sodium carbonate peroxyhydrate,5.1,,II,N,
UN3378,Sodium carbonate peroxyhydrate,5.1,,III,N,
UN1495,Sodium chlorate,5.1,,II,N,
UN2428,"Sodium chlorate, aqueous solution",5.1,,II,N,
UN2428,"Sodium chlorate, aqueous solution",5.1,,III,N,
UN1496,Sodium chlorite,5.1,,II,N,
UN2659,Sodium chloroacetate,6.1,,III,N,
UN2316,"Sodium cuprocyanide, solid",6.1,,I,N,
UN2317,"Sodium cuprocyanide, solution",6.1,,I,N,
UN1689,"Sodium cyanide, solid",6.1,,I,N,
UN3414,Sodium cyanide solution,6.1,,I,N,
UN3414,Sodium cyanide solution,6.1,,II,N,
UN3414,Sodium cyanide solution,6.1,,III,N,
UN0234,"Sodium dinitro-o-cresolate, dry or wetted with less than 15 percent water, by mass",1.3C,,,N,
UN3369,"Sodium dinitro-o-cresolate, wetted with not less than 10% water, by mass",4.1,,I,N,
UN1348,"Sodium dinitro-o-cresolate, wetted with not less than 15 percent water, by mass",4.1,6.1,I,N,
UN1384,Sodium dithionite or Sodium hydrosulfite,4.2,,II,N,
UN1690,"Sodium fluoride, solid",6.1,,III,N,
UN3415,Sodium fluoride solution,6.1,,III,N,
UN2629,Sodium fluoroacetate,6.1,,I,N,
UN2674,Sodium fluorosilicate,6.1,,III,N,
UN1427,Sodium hydride,4.3,,I,N,
UN2439,Sodium hydrogendifluoride,8,,II,N,
UN2318,"Sodium hydrosulfide, with less than 25 percent water of crystallization",4.2,,II,N,
UN2949,Sodium hydrosulfide with not less than 25 percent water of crystallization,8,,II,N,
UN1823,"Sodium hydroxide, solid",8,,II,N,
UN1824,Sodium hydroxide solution,8,,II,N,
UN1824,Sodium hydroxide solution,8,,III,N,
UN1431,Sodium methylate,4.2,8,II,N,
UN1289,Sodium methylate solutions in alcohol,3,8,II,N,
UN1289,Sodium methylate solutions in alcohol,3,8,III,N,
UN1825,Sodium monoxide,8,,II,N,
UN1498,Sodium nitrate,5.1,,III,N,
UN1499,Sodium nitrate and potassium nitrate mixtures,5.1,,III,N,
UN1500,Sodium nitrite,5.1,6.1,III,N,
UN2567,Sodium pentachlorophenate,6.1,,II,N,
UN3377,Sodium perborate monohydrate,5.1,,III,N,
UN1502,Sodium perchlorate,5.1,,II,N,
UN1503,Sodium permanganate,5.1,,II,N,
UN1504,Sodium peroxide,5.1,,I,N,
UN3247,"Sodium peroxoborate, anhydrous",5.1,,II,N,
UN1505,Sodium persulfate,5.1,,III,N,
UN1432,Sodium phosphide,4.3,6.1,I,N,
UN0235,"Sodium picramate, dry or wetted with less than 20 percent water, by mass",1.3C,,,N,
UN1349,"Sodium picramate, wetted with not less than 20 percent water, by mass",4.1,,I,N,
UN1385,"Sodium sulfide, anhydrous or Sodium sulfide with less than 30 percent water of crystallization",4.2,,II,N,
UN1849,"Sodium sulfide, hydrated with not less than 30 percent water",8,,II,N,
UN2547,Sodium superoxide,5.1,,I,N,
UN3244,"Solids containing corrosive liquid, n.o.s.",8,,II,Y,G
UN3175,"Solids containing flammable liquid, n.o.s.",4.1,,II,Y,G
UN3243,"Solids containing toxic liquid, n.o.s.",6.1,,II,Y,G
UN0204,"Sounding devices, explosive",1.2F,,,N,
UN0296,"Sounding devices, explosive",1.1F,,,N,
UN0374,"Sounding devices, explosive",1.1D,,,N,
UN0375,"Sounding devices, explosive",1.2D,,,N,
UN1827,"Stannic chloride, anhydrous",8,,II,N,
UN2440,Stannic chloride pentahydrate,8,,III,N,
UN1433,Stannic phosphide,4.3,6.1,I,N,
UN2676,Stibine,2.3,2.1,,N,
UN1691,Strontium arsenite,6.1,,II,N,
UN1506,Strontium chlorate,5.1,,II,N,
UN1507,Strontium nitrate,5.1,,III,N,
UN1508,Strontium perchlorate,5.1,,II,N,
UN1509,Strontium peroxide,5.1,,II,N,
UN2013,Strontium phosphide,4.3,6.1,I,N,
UN1692,Strychnine or Strychnine salts,6.1,,I,N,
UN2055,"Styrene monomer, stabilized",3,,III,N,
UN0357,"Substances, explosive, n.o.s.",1.1L,,,Y,G
UN0358,"Substances, explosive, n.o.s.",1.2L,,,Y,G
UN0359,"Substances, explosive, n.o.s.",1.3L,,,Y,G
UN0473,"Substances, explosive, n.o.s.",1.1A,,,Y,G
UN0474,"Substances, explosive, n.o.s.",1.1C,,,Y,G
UN0475,"Substances, explosive, n.o.s.",1.1D,,,Y,G
UN0476,"Substances, explosive, n.o.s.",1.1G,,,Y,G
UN0477,"Substances, explosive, n.o.s.",1.3C,,,Y,G
UN0478,"Substances, explosive, n.o.s.",1.3G,,,Y,G
UN0479,"Substances, explosive, n.o.s.",1.4C,,,Y,G
UN0480,"Substances, explosive, n.o.s.",1.4D,,,Y,G
UN0481,"Substances, explosive, n.o.s",1.4S,,,Y,G
UN0485,"Substances, explosive, n.o.s.",1.4G,,,Y,G
UN0482,"Substances, explosive, very insensitive, n.o.s. or Substances, EVI, n.o.s.",1.5D,,,Y,G
UN2780,"Substituted nitrophenol pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,I,N,
UN2780,"Substituted nitrophenol pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,II,N,
UN3014,"Substituted nitrophenol pesticides, liquid, toxic",6.1,,I,N,
UN3014,"Substituted nitrophenol pesticides, liquid, toxic",6.1,,II,N,
UN3014,"Substituted nitrophenol pesticides, liquid, toxic",6.1,,III,N,
UN3013,"Substituted nitrophenol pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,I,N,
UN3013,"Substituted nitrophenol pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,II,N,
UN3013,"Substituted nitrophenol pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,III,N,
UN2779,"Substituted nitrophenol pesticides, solid, toxic",6.1,,I,N,
UN2779,"Substituted nitrophenol pesticides, solid, toxic",6.1,,II,N,
UN2779,"Substituted nitrophenol pesticides, solid, toxic",6.1,,III,N,
UN2967,Sulfamic acid,8,,III,N,
NA1350,Sulfur,9,,III,N,D
UN1350,Sulfur,4.1,,III,N,I
UN1828,Sulfur chlorides,8,,I,N,
UN1079,Sulfur dioxide,2.3,8,,N,
UN1080,Sulfur hexafluoride,2.2,,,N,
NA2448,"Sulfur, molten",9,,III,N,D
UN2448,"Sulfur, molten",4.1,,III,N,I
UN2418,Sulfur tetrafluoride,2.3,8,,N,
UN1829,"Sulfur trioxide, stabilized",8,6.1,I,N,+
UN1831,"Sulfuric acid, fuming with less than 30 percent free sulfur trioxide",8,,I,N,
UN1831,"Sulfuric acid, fuming with 30 percent or more free sulfur trioxide",8,6.1,I,N,
UN1832,"Sulfuric acid, spent",8,,II,N,
UN1830,Sulfuric acid with more than 51 percent acid,8,,II,N,
UN2796,Sulfuric acid with not more than 51% acid,8,,II,N,
UN1833,Sulfurous acid,8,,II,N,
UN1834,Sulfuryl chloride,6.1,8,I,N,+
UN2191,Sulfuryl fluoride,2.3,,,N,
UN1999,"Tars, liquid including road oils and cutback bitumens",3,,II,N,
UN1999,"Tars, liquid including road oils and cutback bitumens",3,,III,N,
UN1700,Tear gas candles,6.1,4.1,,N,
NA1693,"Tear gas devices with more than 2 percent tear gas substances, by mass",6.1,,I,N,D
NA1693,"Tear gas devices with more than 2 percent tear gas substances, by mass",6.1,,II,N,D
UN1693,"Tear gas substances, liquid, n.o.s",6.1,,I,Y,G
UN1693,"Tear gas substances, liquid, n.o.s",6.1,,II,Y,G
UN3448,"Tear gas substance, solid, n.o.s",6.1,,I,Y,G
UN3448,"Tear gas substance, solid, n.o.s",6.1,,II,Y,G
UN3284,"Tellurium compound, n.o.s",6.1,,I,Y,G
UN3284,"Tellurium compound, n.o.s",6.1,,II,Y,G
UN3284,"Tellurium compound, n.o.s",6.1,,III,Y,G
UN2195,Tellurium hexafluoride,2.3,8,,N,
UN2319,"Terpene hydrocarbons, n.o.s.",3,,III,Y,
UN2541,Terpinolene,3,,III,N,
UN2504,Tetrabromoethane,6.1,,III,N,
UN1702,"1,1,2,2-Tetrachloroethane",6.1,,II,N,
UN1897,Tetrachloroethylene,6.1,,III,N,
UN1704,Tetraethyl dithiopyrophosphate,6.1,,II,N,
UN1292,Tetraethyl silicate,3,,III,N,
UN2320,Tetraethylenepentamine,8,,III,N,
UN3159,"1,1,1,2-Tetrafluoroethane or Refrigerant gas R 134a",2.2,,,N,
UN1081,"Tetrafluoroethylene, stabilized",2.1,,,N,
UN1982,Tetrafluoromethane or Refrigerant gas R 14,2.2,,,N,
UN2498,"1,2,3,6-Tetrahydrobenzaldehyde",3,,III,N,
UN2056,Tetrahydrofuran,3,,II,N,
